Welcome!!!
report first level market breadth
HS300 index
113 : 40.00%
114 : 75.67%
115 : 68.00%
116 : 53.33%
117 : 56.00%
report HY001 能源
113 : 31.17%
114 : 75.32%
115 : 63.64%
116 : 55.84%
117 : 64.94%
report HY002 材料
113 : 32.82%
114 : 63.59%
115 : 58.80%
116 : 49.57%
117 : 49.23%
report HY003 工业
113 : 35.88%
114 : 72.45%
115 : 66.11%
116 : 54.51%
117 : 52.23%
report HY004 可选消费
113 : 31.25%
114 : 62.99%
115 : 61.84%
116 : 49.51%
117 : 52.47%
report HY005 日常消费
113 : 27.40%
114 : 55.29%
115 : 60.10%
116 : 47.12%
117 : 39.42%
report HY006 医疗保健
113 : 42.86%
114 : 76.29%
115 : 78.12%
116 : 61.70%
117 : 51.67%
report HY007 金融
113 : 39.09%
114 : 90.91%
115 : 73.64%
116 : 50.91%
117 : 69.09%
report HY008 信息技术
113 : 36.62%
114 : 77.94%
115 : 72.50%
116 : 52.06%
117 : 50.00%
report HY009 电信服务
113 : 0.00%
114 : 71.43%
115 : 14.29%
116 : 28.57%
117 : 14.29%
report HY010 公共事业
113 : 34.86%
114 : 76.15%
115 : 62.39%
116 : 53.21%
117 : 55.05%
report HY011 房地产
113 : 14.58%
114 : 45.14%
115 : 35.42%
116 : 18.75%
117 : 20.14%
report second level market breadth
report HY477 啤酒
113 : 57.14%
114 : 57.14%
115 : 57.14%
116 : 28.57%
117 : 28.57%
report HY478 白酒
113 : 27.59%
114 : 58.62%
115 : 72.41%
116 : 65.52%
117 : 55.17%
report HY479 软饮料
113 : 25.00%
114 : 50.00%
115 : 50.00%
116 : 50.00%
117 : 25.00%
report HY481 食品加工和肉类
113 : 30.93%
114 : 57.73%
115 : 55.67%
116 : 48.45%
117 : 39.18%
report HY504 人寿与健康保险
113 : 66.67%
114 : 100.00%
115 : 100.00%
116 : 66.67%
117 : 100.00%
report HY523 半导体设备
113 : 50.00%
114 : 90.00%
115 : 90.00%
116 : 50.00%
117 : 60.00%
report HY524 半导体产品
113 : 49.33%
114 : 86.67%
115 : 89.33%
116 : 64.00%
117 : 64.00%
report HY446 消费电子
113 : 44.44%
114 : 94.44%
115 : 83.33%
116 : 50.00%
117 : 61.11%
report HY572 中药
113 : 30.00%
114 : 72.86%
115 : 68.57%
116 : 51.43%
117 : 41.43%
report HY491 生物科技
113 : 67.80%
114 : 84.75%
115 : 88.14%
116 : 74.58%
117 : 67.80%
report HY492 西药
113 : 29.20%
114 : 69.03%
115 : 70.80%
116 : 53.10%
117 : 40.71%
report HY485 医疗保健设备
113 : 57.69%
114 : 84.62%
115 : 84.62%
116 : 73.08%
117 : 57.69%
report HY486 医疗保健用品
113 : 66.67%
114 : 90.48%
115 : 100.00%
116 : 90.48%
117 : 90.48%
report HY487 保健护理产品经销商
113 : 38.10%
114 : 71.43%
115 : 76.19%
116 : 38.10%
117 : 33.33%
report HY488 保健护理服务
113 : 20.00%
